Title,Price,Rating,Availability
Tipping the Velvet,£53.74,1,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3,True
A Flight of Arrows (The Pathfinders #2),£55.53,5,True
The House by the Lake,£36.95,1,True
Mrs. Houdini,£30.25,5,True
The Marriage of Opposites,£28.08,4,True
Glory over Everything: Beyond The Kitchen House,£45.84,3,True
"Love, Lies and Spies",£20.55,2,True
A Paris Apartment,£39.01,4,True
Lilac Girls,£17.28,2,True
The Constant Princess (The Tudor Court #1),£16.62,3,True
The Invention of Wings,£37.34,1,True
World Without End (The Pillars of the Earth #2),£32.97,4,True
The Passion of Dolssa,£28.32,5,True
Girl With a Pearl Earring,£26.77,1,True
Voyager (Outlander #3),£21.07,5,True
The Red Tent,£35.66,5,True
The Last Painting of Sara de Vos,£55.55,2,True
The Guernsey Literary and Potato Peel Pie Society,£49.53,1,True
Girl in the Blue Coat,£46.83,2,True
Between Shades of Gray,£20.79,5,True
While You Were Mine,£41.32,5,True
The Secret Healer,£34.56,3,True
Starlark,£25.83,3,True
Lost Among the Living,£27.70,4,True
A Spy's Devotion (The Regency Spies of London #1),£16.97,5,True
